Updated On,State,"RT-PCR Test(Includes TrueNat,CBNAAT,CRISPR)",RAT(Rapid Antigen Test),Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Total People Quarantined,Tag(People in Quarantine),Cumulative People in Home Isolation,Total People Currently in Isolation,Tag(People in Isolation),People released from Home Isolation,"Cases outside Home Isolation i.e Institutional Isolation,Hospital Etc.",Cumulative People in Surveillance,Total People Currently in Surveillance,Tag(People in Surveillance),People released from Surveillance,Cumulative People in Observation,People released from Observation,People on ICU Beds,People on Ventilator,People on O2 Beds,Beds Occupied(Normal/Isolation),Total Num ICU Beds,Total Num Ventilators,Total Num of O2 Beds,Total Num Beds (Normal/Isolation) ,Total PPE,Total N95 Masks,COVID Enquiry Calls,Number of Containment Zones,Cumulative Number of Symptomatic Cases,Cumulative Number of Asymptomatic Cases,Unknown(Nature of Cases),Tag(Nature of Cases),Male(Confirmed Cases),Female(Confirmed Cases),Transgender(Confirmed Cases),Unknown(Confirmed Cases),Male(Deceased Cases),Female(Deceased Cases),Transgender(Deceased Cases),Unknown(Deceased Cases),Source1,Source2
16-May-20,Andaman and Nicobar Islands,,,,6677,Samples Sent,33,,136,,16,Institutional,1196,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://t.me/indiacovid/4925,
19-May-20,Andaman and Nicobar Islands,,,,6965,Samples Sent,33,,117,,2,Institutional,1213,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/261.pdf,
20-May-20,Andaman and Nicobar Islands,,,,7082,Samples Sent,33,,117,,0,Institutional,1215,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/262.pdf,
21-May-20,Andaman and Nicobar Islands,,,,7167,Samples Sent,33,,85,,0,Institutional,1215,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/263.pdf,
22-May-20,Andaman and Nicobar Islands,,,,7263,Samples Sent,33,,96,,0,Institutional,1215,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/264.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/117?single
23-May-20,Andaman and Nicobar Islands,,,,7327,Samples Sent,33,,61,,0,Institutional,1215,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/266.pdf,
24-May-20,Andaman and Nicobar Islands,,,,7327,Samples Sent,33,,0,,0,Institutional,1215,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/267.pdf,
25-May-20,Andaman and Nicobar Islands,,,,7363,Samples Sent,33,,34,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/269.pdf,
26-May-20,Andaman and Nicobar Islands,,,,7448,Samples Sent,33,,84,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/270.pdf,
27-May-20,Andaman and Nicobar Islands,,,,7499,Samples Sent,33,,51,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/271.pdf,
28-May-20,Andaman and Nicobar Islands,,,,7519,Samples Sent,33,,19,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/272.pdf,
29-May-20,Andaman and Nicobar Islands,,,,7567,Samples Sent,33,,48,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/273.pdf,
